"DefaultValue","CustomValue"
"PrintSample","PrintSample"
"Problem with attaching inFlow database","Problem with attaching inFlow database"
"Problem with Microsoft SQL Server installation for inFlow","Problem with Microsoft SQL Server installation for inFlow"
"Proceed","Proceed"
"Product","Product"
"Product Assembly","Product Assembly"
"Product Assembly && Work Order","Product Assembly && Work Order"
"Product Categories","Product Categories"
"Product Category","Product Category"
"Product Cost \r\nReport","Product Cost \r\nReport"
"Product Cost Report","Product Cost Report"
"Product Costs","Product Costs"
"Product Customer Report","Product Customer Report"
"PRODUCT CUSTOMER REPORT","PRODUCT CUSTOMER REPORT"
"Product Description","Product Description"
"Product Description (for all customers / vendors)","Product Description (for all customers / vendors)"
"Product Description (for all customers)","Product Description (for all customers)"
"Product Import","Product Import"
"Product Info","Product Info"
"Product Info: {0}","Product Info: {0}"
"Product List","Product List"
"Product Listing","Product Listing"
"Product Module  Overview","Product Module  Overview"
"Product Module \r\n Overview","Product Module \r\n Overview"
"Product Module \r\nOverview","Product Module \r\nOverview"
"Product Module Overview","Product Module Overview"
"Product must be selected.","Product must be selected."
"Product Name/Code and Description","Product Name/Code and Description"
"Product Price","Product Price"
"Product Price (for all customers using this pricing scheme)","Product Price (for all customers using this pricing scheme)"
"Product Price \r\nList","Product Price \r\nList"
"Product Price List","Product Price List"
"Product Pricing","Product Pricing"
"Product Tax Codes","Product Tax Codes"
"Product Tax Codes are codes for showing which products are taxable and why, e.g. some products may be tax exempt.","Product Tax Codes are codes for showing which products are taxable and why, e.g. some products may be tax exempt."
"Product Type","Product Type"
"Product Types","Product Types"
"Product Vendor","Product Vendor"
"Product Vendors","Product Vendors"
"Product version","Product version"
"Product was not changed.  No saving occurred!","Product was not changed.  No saving occurred!"
"Products","Products"
"PRODUCTS","PRODUCTS"
"Products & Inventory","Products & Inventory"
"Products can be organized into different categories here.","Products can be organized into different categories here."
"Products in this category will be moved to category {0}","Products in this category will be moved to category {0}"
"Products must be placed within a product category","Products must be placed within a product category"
"Products Selected.","Products Selected."
"Products Selection","Products Selection"
"Products Suggested","Products Suggested"
"PRODUCTS TO REORDER","PRODUCTS TO REORDER"
"products w/","products w/"
"products w/ Below Reorder Point","products w/ Below Reorder Point"
"Products w/ Highest Qty Available","Products w/ Highest Qty Available"
"Products w/ Highest Qty Purchased","Products w/ Highest Qty Purchased"
"Products w/ Highest Qty Sold","Products w/ Highest Qty Sold"
"Products w/ Highest Total Profit","Products w/ Highest Total Profit"
"Products w/ Highest Value Available","Products w/ Highest Value Available"
"Products w/ Highest Value Purchased","Products w/ Highest Value Purchased"
"Products w/ Highest Value Sold","Products w/ Highest Value Sold"
"products w/ Negative Inventory","products w/ Negative Inventory"
"products w/ Negative on Hand Inventory","products w/ Negative on Hand Inventory"
"Products w/ Negative Qty Available + on Order","Products w/ Negative Qty Available + on Order"
"Products w/ Negative Qty on Hand","Products w/ Negative Qty on Hand"
"products w/ on Hand Below Reorder Point","products w/ on Hand Below Reorder Point"
"Products w/ Qty Available + on Order below Reorder Point","Products w/ Qty Available + on Order below Reorder Point"
"Products w/ Qty on Hand below Reorder Point","Products w/ Qty on Hand below Reorder Point"
"products w/ Suggested Reorder","products w/ Suggested Reorder"
"Profit","Profit"
"Purchase","Purchase"
"Purchase Info","Purchase Info"
"Purchase Invoice","Purchase Invoice"
"Purchase Order","Purchase Order"
"Purchase Order - Order #","Purchase Order - Order #"
"Purchase Order \r\nSummary","Purchase Order \r\nSummary"
"Purchase Order Details","Purchase Order Details"
"PURCHASE ORDER DETAILS","PURCHASE ORDER DETAILS"
"Purchase Order List","Purchase Order List"
"Purchase Order Listing","Purchase Order Listing"
"Purchase Order Status","Purchase Order Status"
"Purchase Order Summary","Purchase Order Summary"
"Purchase Order version","Purchase Order version"
"Purchase Order\r\nStatus","Purchase Order\r\nStatus"
"Purchase Orders","Purchase Orders"
"PURCHASE ORDERS","PURCHASE ORDERS"
"Purchase Orders w/ Highest A/P","Purchase Orders w/ Highest A/P"
"Purchase Orders w/ Highest Non-Paid Total","Purchase Orders w/ Highest Non-Paid Total"
"Purchase Orders w/ Highest Purchases","Purchase Orders w/ Highest Purchases"
"Purchase Return","Purchase Return"
"Purchased Quantity","Purchased Quantity"
"Purchased Subtotal","Purchased Subtotal"
"PurchaseInvoice","PurchaseInvoice"
"PurchaseInvoice-","PurchaseInvoice-"
"PurchaseOrder","PurchaseOrder"
"PurchaseOrder-","PurchaseOrder-"
"PurchaseReturn","PurchaseReturn"
"PurchaseReturn-","PurchaseReturn-"
"Purchasing","Purchasing"
"PURCHASING","PURCHASING"
"Purchasing - End-of-doc Footer","Purchasing - End-of-doc Footer"
"Purchasing - Order Lines","Purchasing - Order Lines"
"Purchasing - Per-page Footer","Purchasing - Per-page Footer"
"Purchasing - Single Document","Purchasing - Single Document"
"Purchasing Costs","Purchasing Costs"
"Purchasing Doc","Purchasing Doc"
"Purchasing Doc Footer","Purchasing Doc Footer"
"Purchasing Info","Purchasing Info"
"Purchasing Information","Purchasing Information"
"Purchasing Process","Purchasing Process"
"Purchasing Reports","Purchasing Reports"
"Purchasing Tax \r\nReport","Purchasing Tax \r\nReport"
"Purchasing Tax Report","Purchasing Tax Report"
"Purchasing UoM","Purchasing UoM"
"Purchasing UoM Name","Purchasing UoM Name"
"Purchasing UoM Ratio 1","Purchasing UoM Ratio 1"
"Purchasing UoM Ratio 2","Purchasing UoM Ratio 2"
"Purchasing Workflow Overview","Purchasing Workflow Overview"
"Put Away","Put Away"
"Put-Away List","Put-Away List"
"Put-Away Qty","Put-Away Qty"
"Qty","Qty"
"Qty After","Qty After"
"Qty Available","Qty Available"
"Qty Available \r\n    + On Order","Qty Available \r\n    + On Order"
"Qty Available + on Order","Qty Available + on Order"
"Qty Available + On Order","Qty Available + On Order"
"Qty Available + on Order  less than  Reorder Point","Qty Available + on Order  less than  Reorder Point"
"Qty Before","Qty Before"
"Qty in","Qty in"
"Qty in {0}","Qty in {0}"
"Qty In Location","Qty In Location"
"Qty on Hand","Qty on Hand"
"Qty On Hand","Qty On Hand"
"Qty on Order","Qty on Order"
"Qty On Order","Qty On Order"
"Qty Reserved","Qty Reserved"
"Qty Sold","Qty Sold"
"Quantity","Quantity"
"Quantity After","Quantity After"
"Quantity Available","Quantity Available"
"Quantity Before","Quantity Before"
"Quantity From","Quantity From"
"Quantity In","Quantity In"
"Quantity on Hand","Quantity on Hand"
"Quantity On Hand","Quantity On Hand"
"Quantity on Order","Quantity on Order"
"Quantity On Order","Quantity On Order"
"Quantity Out","Quantity Out"
"Quantity Reserved","Quantity Reserved"
"Quantity Sold","Quantity Sold"
"Quantity To","Quantity To"
"Quarters","Quarters"
"Question","Question"
"Quote","Quote"
"Quote #","Quote #"
"Quote has been converted to an Order!","Quote has been converted to an Order!"
"Quotes","Quotes"
"Raw Material","Raw Material"
"read && write in multi-user mode","read && write in multi-user mode"
"Read Database Session","Read Database Session"
"Reading data from file, please wait...","Reading data from file, please wait..."
"Reading file...","Reading file..."
"Read-Only","Read-Only"
"read-only in multi-user mode","read-only in multi-user mode"
"Ready","Ready"
"Reason","Reason"
"Reattaching inFlow database","Reattaching inFlow database"
"Receipt","Receipt"
"Receipt #","Receipt #"
"Receipts","Receipts"
"Receive","Receive"
"Receive && Pay","Receive && Pay"
"Receive &Payment","Receive &Payment"
"Receive Date","Receive Date"
"Receive purchased products and put them into storage.  You can receive products with or without a Purchase Order.","Receive purchased products and put them into storage.  You can receive products with or without a Purchase Order."
"Received","Received"
"Received Date","Received Date"
"Received Orders","Received Orders"
"Received Qty","Received Qty"
"Receiving","Receiving"
"Receiving Addresses","Receiving Addresses"
"Receiving Addresses are your company's addresses you might want vendors to ship to.","Receiving Addresses are your company's addresses you might want vendors to ship to."
"Receiving Addressses","Receiving Addressses"
"Receiving all products in Purchase Order...","Receiving all products in Purchase Order..."
"Receiving for Purchase Orders","Receiving for Purchase Orders"
"Receiving items and paying for Purchase Order...","Receiving items and paying for Purchase Order..."
"Receiving Note","Receiving Note"
"Receiving Notes","Receiving Notes"
"ReceivingNote","ReceivingNote"
"ReceivingNote-","ReceivingNote-"
"Recent Articles","Recent Articles"
"Recent Orders","Recent Orders"
"Ref #","Ref #"
"Reference table name not specified","Reference table name not specified"
"References","References"
"Refresh","Refresh"
"Refreshing...","Refreshing..."
"Refund Details","Refund Details"
"Refund Order","Refund Order"
"Refund Total","Refund Total"
"Refunded","Refunded"
"Refunding Purchase Order...","Refunding Purchase Order..."
"Refunding Return...","Refunding Return..."
"Register your name and email to receive news and updates!  (Recommended)","Register your name and email to receive news and updates!  (Recommended)"
"Regular","Regular"
"REGULAR","REGULAR"
"Regular Edition","Regular Edition"
"Reimport Doc","Reimport Doc"
"Remaining Qty","Remaining Qty"
"Remarks","Remarks"
"Remove","Remove"
"Remove a component (raw material or finished product) from this work order.","Remove a component (raw material or finished product) from this work order."
"Remove the selected user.","Remove the selected user."
"Remove this custom document template.","Remove this custom document template."
"Removing firewall exceptions...","Removing firewall exceptions..."
"Rename Fields","Rename Fields"
"Rename or translate any of the text (labels, column headers, etc.) within inFlow.","Rename or translate any of the text (labels, column headers, etc.) within inFlow."
"Re-open Order","Re-open Order"
"Re-opening Cancelled Purchase Order...","Re-opening Cancelled Purchase Order..."
"Re-opening Cancelled Sales Order...","Re-opening Cancelled Sales Order..."
"Re-opening Purchase Order...","Re-opening Purchase Order..."
"Re-opening Sales Order...","Re-opening Sales Order..."
"Reopening the completed order will reverse all inventory movements and payment records.  Continue?","Reopening the completed order will reverse all inventory movements and payment records.  Continue?"
"Reopening the order will clear all the payment information.  Continue?","Reopening the order will clear all the payment information.  Continue?"
"Reopening the order will delete all the pick/pack/ship and payment information.  Continue?","Reopening the order will delete all the pick/pack/ship and payment information.  Continue?"
"Reopening the order will delete all the received information.  Continue?","Reopening the order will delete all the received information.  Continue?"
"Re-opening Work Order...","Re-opening Work Order..."
"Reorder Point","Reorder Point"
"Reorder products that you're running out of.","Reorder products that you're running out of."
"Reorder Qty","Reorder Qty"
"Reorder Quantity","Reorder Quantity"
"Reorder Stock","Reorder Stock"
"Reordering","Reordering"
"Repeat-trial request pending...","Repeat-trial request pending..."
"Report List","Report List"
"Report Printed:","Report Printed:"
"Report Title","Report Title"
"Reports","Reports"
"REPORTS","REPORTS"
"Reports - End-of-doc Footer","Reports - End-of-doc Footer"
"Reports - Per-page Footer","Reports - Per-page Footer"
"Reports Doc Footer","Reports Doc Footer"
"Reports List","Reports List"
"Reports Listing","Reports Listing"
"Reports Overview","Reports Overview"
"REPORTS OVERVIEW","REPORTS OVERVIEW"
"Representatives that take orders for your company","Representatives that take orders for your company"
"Req. Ship Date","Req. Ship Date"
"Request &Trial","Request &Trial"
"Request Repeat Trial","Request Repeat Trial"
"Requested Ship Date","Requested Ship Date"
"Require Login every time?","Require Login every time?"
"Reserved","Reserved"
"Reset","Reset"
"Reset All Data","Reset All Data"
"Reset all settings (except for footers) to their original defaulted values.","Reset all settings (except for footers) to their original defaulted values."
"Reset all the choices to ""always do this"" so it will ask you again","Reset all the choices to ""always do this"" so it will ask you again"
"Reset the classic template options to the defaults.","Reset the classic template options to the defaults."
"Reset the clean template options to the defaults.","Reset the clean template options to the defaults."
"Reset the modern template options to the defaults.","Reset the modern template options to the defaults."
"Reset to standard components","Reset to standard components"
"Resetting database to blank...","Resetting database to blank..."
"Resetting sample database...","Resetting sample database..."
"Resetting Server Password for inFlow","Resetting Server Password for inFlow"
"Residential","Residential"
"Restart inFlow now","Restart inFlow now"
"Restarting SQL Server service...","Restarting SQL Server service..."
"Restock","Restock"
"Restocked ?","Restocked ?"
"Restocking","Restocking"
"Restocking failed.  Changes are NOT saved.  Please try again.","Restocking failed.  Changes are NOT saved.  Please try again."
"Restocking for Sales Orders","Restocking for Sales Orders"
"Restocking inventory...","Restocking inventory..."
"Restocking quantity is more than returned quantity","Restocking quantity is more than returned quantity"
"Restore Data","Restore Data"
"Restore to this backup","Restore to this backup"
"Restore/Reset","Restore/Reset"
"Restoring data from backup file...","Restoring data from backup file..."
"restrict user access rights","restrict user access rights"
"Return","Return"
"Return Date","Return Date"
"Return is refunded!","Return is refunded!"
"Return is Refunded!","Return is Refunded!"
"Return purchased products to the vendor if there are problems with the products.","Return purchased products to the vendor if there are problems with the products."
"Returned Qty","Returned Qty"
"Returning quantity is more than invoiced quantity","Returning quantity is more than invoiced quantity"
"Returning quantity is more than received quantity","Returning quantity is more than received quantity"
"Right here, Right Now: Your last chance to <a action=""605"" tab=""100"">Upgrade and Save 10%</a> - Promotion ends today!","Right here, Right Now: Your last chance to <a action=""605"" tab=""100"">Upgrade and Save 10%</a> - Promotion ends today!"
"Russia","Russia"
"'s Price","'s Price"
"S&kip","S&kip"
"Sales","Sales"
"SALES","SALES"
"Sales - End-of-doc Footer","Sales - End-of-doc Footer"
"Sales - Order Lines","Sales - Order Lines"
"Sales - Per-page Footer","Sales - Per-page Footer"
"Sales - Single Document","Sales - Single Document"
"Sales Amount","Sales Amount"
"Sales by Product Details","Sales by Product Details"
"SALES BY PRODUCT DETAILS","SALES BY PRODUCT DETAILS"
"Sales by Product Summary","Sales by Product Summary"
"Sales Completed","Sales Completed"
"Sales Cost","Sales Cost"
"Sales Doc","Sales Doc"
"Sales Doc Footer","Sales Doc Footer"
"Sales Info","Sales Info"
"Sales Information","Sales Information"
"Sales Order","ORDER SLIP"
"Sales Order List","Sales Order List"
"Sales Order Listing","Sales Order Listing"
"Sales Order Operational Report","Sales Order Operational Report"
"Sales Order Profit Report","Sales Order Profit Report"
"Sales Order Summary","Sales Order Summary"
"SALES ORDER SUMMARY","SALES ORDER SUMMARY"
"Sales Order version","Sales Order version"
"Sales Orders","Sales Orders"
"SALES ORDERS","SALES ORDERS"
"Sales Orders w/ Highest A/R","Sales Orders w/ Highest A/R"
"Sales Orders w/ Highest Non-Invoiced Total","Sales Orders w/ Highest Non-Invoiced Total"
"Sales Orders w/ Highest Profit","Sales Orders w/ Highest Profit"
"Sales Orders w/ Highest Sales","Sales Orders w/ Highest Sales"
"Sales Process","Sales Process"
"Sales Profit","Sales Profit"
"Sales Promo Price","Sales Promo Price"
"Sales Quote","Sales Quote"
"Sales Quotes","Sales Quotes"
"Sales Receipt","Delivery Receipt"
"Sales Rep","Sales Rep"
"Sales Reports","Sales Reports"
"Sales Representative","Sales Representative"
"Sales Representative Report","Sales Representative Report"
"SALES REPRESENTATIVE REPORT","SALES REPRESENTATIVE REPORT"
"Sales Representatives","Sales Representatives"
"Sales Tax Report","Sales Tax Report"
"SALES TAX REPORT","SALES TAX REPORT"
"Sales Total","Sales Total"
"Sales UoM","Sales UoM"
"Sales UoM Name","Sales UoM Name"
"Sales UoM Ratio 1","Sales UoM Ratio 1"
"Sales UoM Ratio 2","Sales UoM Ratio 2"
"Sales Value of Inventory","Sales Value of Inventory"
"Sales Workflow Overview","Sales Workflow Overview"
"SalesInvoice","SalesInvoice"
"SalesOrder","SalesOrder"
"SalesQuote","SalesQuote"
"SalesReceipt","SalesReceipt"
"SAMPLE","SAMPLE"
"Saudi Arabia","Saudi Arabia"
"Save","Save"
"Save a backup now to the auto backup directory.","Save a backup now to the auto backup directory."
"Save As..","Save As.."
"Save Changes","Save Changes"
"Save Connection Settings","Save Connection Settings"
"Save Count Sheet  (Ctrl+S)","Save Count Sheet  (Ctrl+S)"
"Save Customer  (Ctrl+S)","Save Customer  (Ctrl+S)"
"Save directory","Save directory"
"Save Failed.  Changes are NOT saved.  Please try again.","Save Failed.  Changes are NOT saved.  Please try again."
"Save it somewhere, then load it here.","Save it somewhere, then load it here."
"Save Product  (Ctrl+S)","Save Product  (Ctrl+S)"
"Save Purchase Order  (Ctrl+S)","Save Purchase Order  (Ctrl+S)"
"Save Sales Order  (Ctrl+S)","Save Sales Order  (Ctrl+S)"
"Save Settings","Save Settings"
"Save successful!","Save successful!"
"Save the current count sheet.","Save the current count sheet."
"Save the current customer information.","Save the current customer information."
"Save the current product information.","Save the current product information."
"Save the current purchase order.","Save the current purchase order."
"Save the current sales order.","Save the current sales order."
"Save the current vendor information.","Save the current vendor information."
"Save the current work order.","Save the current work order."
"Save the price back into the pricing scheme when it's changed in a sales order.","Save the price back into the pricing scheme when it's changed in a sales order."
"Save the product description for all customers and vendors when it's changed in a purchase order.","Save the product description for all customers and vendors when it's changed in a purchase order."
"Save the product description for all customers and vendors when it's changed in a sales order.","Save the product description for all customers and vendors when it's changed in a sales order."
"Save the report settings so that you can reuse the same settings in the future.","Save the report settings so that you can reuse the same settings in the future."
"Save the settings.  This will apply the settings to all documents and reports printed/exported from now on.","Save the settings.  This will apply the settings to all documents and reports printed/exported from now on."
"Save these report customization settings and close this dialog.","Save these report customization settings and close this dialog."
"Save Vendor  (Ctrl+S)","Save Vendor  (Ctrl+S)"
"Save Work Order (Ctrl+S)","Save Work Order (Ctrl+S)"
"Saved","Saved"
"Saved Report Settings are Invalid","Saved Report Settings are Invalid"
"Saved the Purchase Order, but couldn't save the updated Product information.","Saved the Purchase Order, but couldn't save the updated Product information."
"Saved the Purchase Order, but couldn't save the updated Vendor information.","Saved the Purchase Order, but couldn't save the updated Vendor information."
"Saved the Sales Order, but couldn't save the updated Customer information.","Saved the Sales Order, but couldn't save the updated Customer information."
"Saved the Sales Order, but couldn't save the updated Product information.","Saved the Sales Order, but couldn't save the updated Product information."
"Saved:","Saved:"
"Saving {0}...","Saving {0}..."
"Saving data to backup file before database reset...","Saving data to backup file before database reset..."
"Saving data to backup file, please wait...","Saving data to backup file, please wait..."
"Saving data to backup file...","Saving data to backup file..."
"Saving file failed.  Please try again.","Saving file failed.  Please try again."
"Saving money is always fun.  <a action=""605"" tab=""100"">Upgrade today</a> for a 2% Saving - Your business will thank you for it.","Saving money is always fun.  <a action=""605"" tab=""100"">Upgrade today</a> for a 2% Saving - Your business will thank you for it."
"Screenshot my reports","Screenshot my reports"
"Search","Search"
"Search by Count Sheet number.","Search by Count Sheet number."
"Search by customer name.","Search by customer name."
"Search by price range of the product.","Search by price range of the product."
"Search by purchase order number for an order","Search by purchase order number for an order"
"Search by the active/inactive status","Search by the active/inactive status"
"Search by the active/inactive status.","Search by the active/inactive status."
"Search by the barcode of the product.","Search by the barcode of the product."
"Search by the category of the product.","Search by the category of the product."
"Search by the completed date of the count sheets.","Search by the completed date of the count sheets."
"Search by the Contact Name of the Vendor.","Search by the Contact Name of the Vendor."
"Search by the customer of the Sales Order.","Search by the customer of the Sales Order."
"Search by the customer's contact name.","Search by the customer's contact name."
"Search by the customer's discount range.","Search by the customer's discount range."
"Search by the customer's email address.","Search by the customer's email address."
"Search by the customer's phone number.","Search by the customer's phone number."
"Search by the customer's pricing scheme.","Search by the customer's pricing scheme."
"Search by the customer's website address","Search by the customer's website address"
"Search by the date range of the transaction.","Search by the date range of the transaction."
"Search by the description of the product.","Search by the description of the product."
"Search by the description of the transaction.","Search by the description of the transaction."
"Search by the Email of the Vendor.","Search by the Email of the Vendor."
"Search by the From Location of the transaction.","Search by the From Location of the transaction."
"Search by the From Sublocation of the transaction.","Search by the From Sublocation of the transaction."
"Search by the Item","Search by the Item"
"Search by the location of the stock.","Search by the location of the stock."
"Search by the name of the product being moved.","Search by the name of the product being moved."
"Search by the name of the product.","Search by the name of the product."
"Search by the Name of the Vendor.","Search by the Name of the Vendor."
"Search by the order number","Search by the order number"
"Search by the Order Number","Search by the Order Number"
"Search by the order's requested ship date range.","Search by the order's requested ship date range."
"Search by the person who counted the sheets.","Search by the person who counted the sheets."
"Search by the Phone number of the Vendor.","Search by the Phone number of the Vendor."
"Search by the Purchase Order's Balance range.","Search by the Purchase Order's Balance range."
"Search by the Purchase Order's due date range.","Search by the Purchase Order's due date range."
"Search by the Purchase Order's order date range.","Search by the Purchase Order's order date range."
"Search by the Purchase Order's Paid Amount range.","Search by the Purchase Order's Paid Amount range."
"Search by the Purchase Order's requested ship date range.","Search by the Purchase Order's requested ship date range."
"Search by the Purchase Order's Total Amount range.","Search by the Purchase Order's Total Amount range."
"Search by the quantity range of the stock level.","Search by the quantity range of the stock level."
"Search by the Sales Order's balance range.","Search by the Sales Order's balance range."
"Search by the Sales Order's due date range.","Search by the Sales Order's due date range."
"Search by the Sales Order's order date range.","Search by the Sales Order's order date range."
"Search by the Sales Order's paid amount range.","Search by the Sales Order's paid amount range."
"Search by the Sales Order's status.","Search by the Sales Order's status."
"Search by the Sales Order's Total Balance range.","Search by the Sales Order's Total Balance range."
"Search by the sales representative for an order","Search by the sales representative for an order"
"Search by the Started Date range of the count sheets.","Search by the Started Date range of the count sheets."
"Search by the status of the counter sheets.","Search by the status of the counter sheets."
"Search by the status of the Purchase Order.","Search by the status of the Purchase Order."
"Search by the sublocation of the stock.","Search by the sublocation of the stock."
"Search by the To Location of the transaction.","Search by the To Location of the transaction."
"Search by the To Sublocation of the transaction.","Search by the To Sublocation of the transaction."
"Search by the type of the product.","Search by the type of the product."
"Search by the vendor of the Purchase Order.","Search by the vendor of the Purchase Order."
"Search by the Vendor's order number","Search by the Vendor's order number"
"Search by the vendor's website address","Search by the vendor's website address"
"Search by transaction type.","Search by transaction type."
"Search by type of inventory transaction.","Search by type of inventory transaction."
"Search for Help (Online)","Search for Help (Online)"
"Search for Help:","Search for Help:"
"Search for text in this document.","Search for text in this document."
"Search for the name associated with the transactions.","Search for the name associated with the transactions."
"Search Results","Search Results"
"Search the Help Center for related help.","Search the Help Center for related help."
"Search the Help Center for related posts.","Search the Help Center for related posts."
"SEARCH:","SEARCH:"
"Secondary Tax","Secondary Tax"
"Secondary Tax Applicable","Secondary Tax Applicable"
"Secondary Tax Name","Secondary Tax Name"
"Secondary Tax Rate","Secondary Tax Rate"
"Secondary Taxable","Secondary Taxable"
"Section","Section"
"Sections","Sections"
"Security","Security"
"See a graph of how your business has been doing over time.","See a graph of how your business has been doing over time."
"See a listing of customers and their related information.","See a listing of customers and their related information."
"See a listing of vendors and their related information.","See a listing of vendors and their related information."
"See what you have in stock and where.","See what you have in stock and where."
"See your most important products, customers, etc.","See your most important products, customers, etc."
"Select","Select"
"Select a particular customer to report on.","Select a particular customer to report on."
"Select a particular set of products to include in this report.","Select a particular set of products to include in this report."
"Select inventory locations to include in a physical/cycle count.  All known products at this location will be added to your count sheet.","Select inventory locations to include in a physical/cycle count.  All known products at this location will be added to your count sheet."
"Select inventory locations to transfer stock from.  All known products at these locations will be added to the stock transfer.","Select inventory locations to transfer stock from.  All known products at these locations will be added to the stock transfer."
"Select only certain types of inventory transactions","Select only certain types of inventory transactions"
"Select only orders in a particular status, e.g. orders currently In Progress","Select only orders in a particular status, e.g. orders currently In Progress"
"Select Products ...","Select Products ..."
"Select the main column by which to sort.","Select the main column by which to sort."
"Select the method by which to group lines of this report.","Select the method by which to group lines of this report."
"Select the secondary column by which to sort in case of ties in the primary sorting column.","Select the secondary column by which to sort in case of ties in the primary sorting column."
"Select the secondary column by which to sort when the first is the same.","Select the secondary column by which to sort when the first is the same."
"Select the third column by which to sort when the first two sorting columns are the same.","Select the third column by which to sort when the first two sorting columns are the same."
"Select the type of custom document that you'd like to create.  The document will be available for print or export when you open up an order.","Select the type of custom document that you'd like to create.  The document will be available for print or export when you open up an order."
"Selected Products","Selected Products"
"Sell something to one of your customers.","Sell something to one of your customers."
"Send me updates!","Send me updates!"
"Ser&vice","Ser&vice"
"Server","Server"
"Server Name","Server Name"
"Server Name or IP Address","Server Name or IP Address"
"Server Name:","Server Name:"
"Server Password","Server Password"
"Server Password:","Server Password:"
"Service","Service"
"Set","Set"
"Set inventory levels to what's being imported","Set inventory levels to what's being imported"
"Set the options for automatic backup.","Set the options for automatic backup."
"Set the pattern for document numbers here.  You can attach prefix and suffix to the numbers, and can see a preview of how it will look in the preview column.","Set the pattern for document numbers here.  You can attach prefix and suffix to the numbers, and can see a preview of how it will look in the preview column."
"Set the pricing scheme (including the currency) under which to show our prices for products.","Set the pricing scheme (including the currency) under which to show our prices for products."
"Set the pricing scheme under which to show our prices for products.","Set the pricing scheme under which to show our prices for products."
"Set this computer as:","Set this computer as:"
"Set up different units of measure for this product.  e.g. you might purchase by the case of 12 and sell by the piece.","Set up different units of measure for this product.  e.g. you might purchase by the case of 12 and sell by the piece."
"Set up this computer as server","Set up this computer as server"
"Sets the access rights for multiple users of inFlow.","Sets the access rights for multiple users of inFlow."
"Setting SQL Server Browser service startup type to automatic","Setting SQL Server Browser service startup type to automatic"
"Setting SQL Server Browser service to automatic...","Setting SQL Server Browser service to automatic..."
"Setting SQL Server database service startup type to automatic","Setting SQL Server database service startup type to automatic"
"Setting this computer as a server","Setting this computer as a server"
"Setting this computer as a server...","Setting this computer as a server..."
"Settings","Settings"
"SETTINGS","SETTINGS"
"Setup Wizard - Company Info","Setup Wizard - Company Info"
"Setup Wizard - Finished!","Setup Wizard - Finished!"
"Setup Wizard - Product Description","Setup Wizard - Product Description"
"Setup Wizard - Product Tax","Setup Wizard - Product Tax"
"Setup Wizard - Product Tax Codes","Setup Wizard - Product Tax Codes"
"Setup Wizard - Sales Tax","Setup Wizard - Sales Tax"
"Setup Wizard - Secondary Tax","Setup Wizard - Secondary Tax"
"Setup Wizard - Storage Locations","Setup Wizard - Storage Locations"
"Setup Wizard - Taxing Schemes","Setup Wizard - Taxing Schemes"
"Setup Wizard - Welcome!","Setup Wizard - Welcome!"
"Sheet #","Sheet #"
"Ship","Ship"
"Ship Date","Ship Date"
"Ship Out","Ship Out"
"Ship out packed boxes or pallets to customers.  The software will automatically deduct inventory when products are shipped.","Ship out packed boxes or pallets to customers.  The software will automatically deduct inventory when products are shipped."
"Shipped Boxes","Shipped Boxes"
"Shipped Date","Shipped Date"
"Shipped Qty","Shipped Qty"
"Shipping","Shipping"
"Shipping Address","Shipping Address"
"Shipping Address (Optional)","Shipping Address (Optional)"
"Shipping Address (Or leave blank if same as billing)","Shipping Address (Or leave blank if same as billing)"
"Shipping for Sales Orders","Shipping for Sales Orders"
"Shipping items and receiving payment for Sales Order...","Shipping items and receiving payment for Sales Order..."
"Ship-To Address","Ship-To Address"
"Ship-To Address (if not company address)","Ship-To Address (if not company address)"
"Ship-To\r\nAddress","Ship-To\r\nAddress"
"SHORTCUTS","SHORTCUTS"
"Shouldn't be in this showing state.","Shouldn't be in this showing state."
"Show","Show"
"Show a bar graph.","Show a bar graph."
"Show a line graph.","Show a line graph."
"Show a pie graph.","Show a pie graph."
"Show All","Show All"
"Show all categories, including deactivated ones.","Show all categories, including deactivated ones."
"Show by","Show by"
"Show Description :","Show Description :"
"Show each point as a day, week, month, quarter (3 months), or year.","Show each point as a day, week, month, quarter (3 months), or year."
"Show Inactive Customers","Show Inactive Customers"
"Show only orders from a particular customer, e.g. to see which orders a customer hasn't yet paid you for.","Show only orders from a particular customer, e.g. to see which orders a customer hasn't yet paid you for."
"Show Only Outstanding","Show Only Outstanding"
"Show Only Overdue","Show Only Overdue"
"Show Only Owing","Show Only Owing"
"Show orders only for a particular customer.","Show orders only for a particular customer."
"Show Password","Show Password"
"Show Printed Date","Show Printed Date"
"Show Product &Details","Show Product &Details"
"Show Product Description","Show Product Description"
"Show Product Descriptions","Show Product Descriptions"
"Show Product Tax","Show Product Tax"
"Show Secondary Tax","Show Secondary Tax"
"Show Stickies","Show Stickies"
"Show Sublocation","Show Sublocation"
"Show Taxes","Show Taxes"
"Show Units of Measurements","Show Units of Measurements"
"Show upgrade edition wizard","Show upgrade edition wizard"
"Show vendor product list only for a particular vendor.","Show vendor product list only for a particular vendor."
"Show volume by","Show volume by"
"Show weight by","Show weight by"
"Show/Hide Sticky","Show/Hide Sticky"
"Shows a full log of how the inventory has been moved around.","Shows a full log of how the inventory has been moved around."
"Shows a history of the items that a customer has ordered in the past.","Shows a history of the items that a customer has ordered in the past."
